,ASVs,Kingdom,Phylum,Class,Order,Family,Genus,Taxonomy
ASV_1853,ASV_1853,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__NA;f__NA;g__NA
ASV_1854,ASV_1854,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Nakamurellales,f__Nakamurellaceae,g__Nakamurella,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Nakamurellales;f__Nakamurellaceae;g__Nakamurella
ASV_1855,ASV_1855,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia
ASV_1859,ASV_1859,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Azospirillaceae,g__Skermanella,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Skermanella
ASV_1865,ASV_1865,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Pirellulales,f__Thermoguttaceae,g__Thermogutta,k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Pirellulales;f__Thermoguttaceae;g__Thermogutta
ASV_1867,ASV_1867,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_incertae_sedis,f__Acidibacter,g__NA,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_incertae_sedis;f__Acidibacter;g__NA
ASV_1868,ASV_1868,k__Bacteria,p__Verrucomicrobia,c__Spartobacteria,o__NA,f__NA,g__NA,k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__NA;f__NA;g__NA
ASV_1869,ASV_1869,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylobacteriaceae,g__Microvirga,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga
ASV_1870,ASV_1870,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Pseudolabrys,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Pseudolabrys
ASV_1871,ASV_1871,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Puia,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Puia
ASV_1872,ASV_1872,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__NA,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__NA
ASV_1873,ASV_1873,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Dyadobacter,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Dyadobacter
ASV_1876,ASV_1876,k__Bacteria,p__Chloroflexi,c__Thermomicrobia,o__Sphaerobacterales,f__Sphaerobacteraceae,g__NA,k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__Sphaerobacterales;f__Sphaerobacteraceae;g__NA
ASV_1877,ASV_1877,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__NA,g__NA,k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__NA;g__NA
ASV_1878,ASV_1878,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__NA,g__NA,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__NA;g__NA
ASV_1879,ASV_1879,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Sporosarcina,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Sporosarcina
ASV_1880,ASV_1880,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae_1,g__Clostridium_sensu_stricto,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto
ASV_1883,ASV_1883,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium
ASV_1884,ASV_1884,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,o__Granulicella,f__NA,g__NA,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Granulicella;f__NA;g__NA
ASV_1885,ASV_1885,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Parafilimonas,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas
ASV_1889,ASV_1889,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_1891,ASV_1891,k__Bacteria,p__Acidobacteria,c__Acidobacteria_Gp1,o__Granulicella,f__NA,g__NA,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp1;o__Granulicella;f__NA;g__NA
ASV_1892,ASV_1892,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Cellulomonadaceae,g__Cellulomonas,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;g__Cellulomonas
ASV_1900,ASV_1900,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ASV_1902,ASV_1902,k__Bacteria,p__Planctomycetes,c__Planctomycetacia,o__Planctomycetales,f__Isosphaeraceae,g__Tundrisphaera,k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Isosphaeraceae;g__Tundrisphaera
ASV_1903,ASV_1903,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acidisoma,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma
ASV_1904,ASV_1904,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__NA,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__NA
ASV_1909,ASV_1909,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__Acidisoma,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Acidisoma
ASV_1911,ASV_1911,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Cumulibacter,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Geodermatophilales;f__Geodermatophilaceae;g__Cumulibacter
ASV_1912,ASV_1912,k__Bacteria,p__Deinococcus-Thermus,c__Deinococci,o__Deinococcales,f__Deinococcaceae,g__Deinococcus,k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus
